,Unnamed: 0,Custodian Account,Currency,Ticker1,Cash Standing,len_cash,Fund,Pos_security,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff
0,0,NEFU_FIFTY_SEVENCAY_00799777,CHF,smu1,1185.44,2.0,FIFTY_SEVENCAY,Futures,SWISS MKT IX FUTR SEP21,0,0.0,1810.0
1,1,NEFU_FIFTY_SEVENCAY_00799778,CHF,smu1,-115.88,5.0,FIFTY_SEVENCAY,Futures,SWISS MKT IX FUTR SEP21,0,0.0,280.0
2,2,NEFU_FIFTY_SEVEN_00799760,AUD,iru2,6528.54,7.0,FIFTY_SEVEN,Futures,90-DAY BANK BILL  Sep22,0,0.0,-763.22
3,3,NEFU_FIFTY_SEVEN_00799760,AUD,ltyu1,9.65,1.0,FIFTY_SEVEN,Futures,AUST 20Y BOND FUT SEP21,0,0.0,0.01
4,4,NEFU_FIFTY_SEVEN_00799760,AUD,xmu1,36.28,3.0,FIFTY_SEVEN,Futures,AUST 10Y BOND FUT SEP21,0,0.0,9.56
5,5,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,170.47,4.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT SEP21,479,99.71,-12809.86
6,6,NEFU_FIFTY_SEVEN_00799760,AUD,ymu1,170.47,4.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT Sep21,-479,-99.71,13323.53
7,7,NEFU_FIFTY_SEVEN_00799760,CAD,cvu1,-9.63,2.0,,,,0,,
8,8,NEFU_FIFTY_SEVEN_00799760,JPY,nou1,-117.71,4.0,FIFTY_SEVEN,Futures,NIKKEI 225 MINI   Sep21,0,0.0,9500.0
9,9,NEFU_FIFTY_SEVEN_00799760,MYR,ikq1,82.67,12.0,FIFTY_SEVEN,Futures,FTSE KLCI FUTURE  Aug21,0,0.0,500.0
10,10,NEFU_FIFTY_SEVEN_00799760,NZD,zbm2,67514.85,27.0,FIFTY_SEVEN,Futures,NEW ZEAL 3MO BILL JUN22,-84,0.0,2869.53
11,11,NEFU_FIFTY_SEVEN_00799760,THB,,24967.0,1.0,,,,0,,
12,12,NEFU_FIFTY_SEVEN_00799760,THB,bcu1,-222.33,5.0,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0,0.0,1680.0
13,13,NEFU_FIFTY_SEVEN_00799760,USD,,-25000.0,1.0,,,,0,,
14,14,NEFU_FIFTY_SEVEN_00799760,USD,adu1,-3641.96,20.0,,,,0,,
15,15,NEFU_FIFTY_SEVEN_00799760,USD,adu1 curncy,-15.64,3.0,FIFTY_SEVEN,Futures,AUDUSD CRNCY FUT SEP21,0,73.2154,1955.0
16,16,NEFU_FIFTY_SEVEN_00799760,USD,boz1,-6255.180001,49.0,FIFTY_SEVEN,Futures,SOYBEAN OIL FUTR  Dec21,0,61.181999999999995,186.0
17,17,NEFU_FIFTY_SEVEN_00799760,USD,ecu1,2968.8,4.0,,,,0,,
18,18,NEFU_FIFTY_SEVEN_00799760,USD,enq1,1788.86,3.0,,,,0,,
19,19,NEFU_FIFTY_SEVEN_00799760,USD,fvu1,194.79,2.0,FIFTY_SEVEN,Futures,US 5YR NOTE (CBT) SEP21,0,3.75e-05,195.29
20,20,NEFU_FIFTY_SEVEN_00799760,USD,gcz1,-30.8,1.0,,,,0,,
21,21,NEFU_FIFTY_SEVEN_00799760,USD,hou1,-2902.2,2.0,FIFTY_SEVEN,Futures,NY HARB ULSD FUT SEP21,0,210.5136,2902.2
22,22,NEFU_FIFTY_SEVEN_00799760,USD,lcv1,-12.14,1.0,FIFTY_SEVEN,Futures,LIVE CATTLE FUTR  Oct21,0,126.8685,0.0
23,23,NEFU_FIFTY_SEVEN_00799760,USD,lcz1,-13.94,1.0,,,,0,,
24,24,NEFU_FIFTY_SEVEN_00799760,USD,lhq1,-8.19,1.0,,,,0,,
25,25,NEFU_FIFTY_SEVEN_00799760,USD,lhv1,-19.3,2.0,FIFTY_SEVEN,Futures,LEAN HOGS FUTURE  Oct21,0,90.4612,0.0
26,26,NEFU_FIFTY_SEVEN_00799760,USD,lhz1,-5.74,1.0,,,,0,,
27,27,NEFU_FIFTY_SEVEN_00799760,USD,ngu1 21,-3.28,1.0,FIFTY_SEVEN,Futures,SEP 21 NATURAL GAS,4,4.027,540.0
28,28,NEFU_FIFTY_SEVEN_00799760,USD,ngu21,3.28,1.0,FIFTY_SEVEN,Futures,NATURAL GAS FUTR  Sep21,-4,-4.027,-540.0
29,29,NEFU_FIFTY_SEVEN_00799760,USD,siu1,-5905.4,5.0,,,,0,,
30,30,NEFU_FIFTY_SEVEN_00799760,USD,smn1,771.46,1.0,,,,0,,
31,31,NEFU_FIFTY_SEVEN_00799760,USD,smz1,-766.22,5.0,FIFTY_SEVEN,Futures,SOYBEAN MEAL FUTR DEC21,0,0.0,250.0
32,32,NEFU_FIFTY_SEVEN_00799760,USD,usu1,-2686.48,1.0,FIFTY_SEVEN,Futures,US LONG BOND(CBT) SEP21,0,0.0,0.0
33,33,NEFU_FIFTY_SEVEN_00799760,USD,w u1,2.84e-14,8.0,FIFTY_SEVEN,Futures,WHEAT FUTURE(CBT) SEP21,0,0.0,0.0
34,34,NEFU_FIFTY_SEVEN_00799760,USD,xbu1,-10008.7,15.0,FIFTY_SEVEN,Futures,GASOLINE RBOB FUT SEP21,0,224.8092,289.8
35,35,NEFU_FIFTY_SEVEN_00799760,USD,xbx1,-1335.6,4.0,,,,0,,
36,36,NEFU_FIFTY_SEVEN_00799762,AUD,xpu1,4395.73,17.0,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,0,0.0,0.0
37,37,NEFU_FIFTY_SEVEN_00799762,EUR,ibq1,-37864.99,24.0,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0,0.0,16425.0
38,38,NEFU_FIFTY_SEVEN_00799762,EUR,stu1,-4173.28,6.0,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0
39,39,NEFU_FIFTY_SEVEN_00799762,GBP,z u1,-5936.88,4.0,FIFTY_SEVEN,Futures,FTSE 100 IDX FUT  Sep21,0,0.0,0.0
40,40,NEFU_FIFTY_SEVEN_00799762,HKD,hcq1,-4608.27,9.0,FIFTY_SEVEN,Futures,H-SHARES IDX FUT AUG21,0,0.0,159500.0
41,41,NEFU_FIFTY_SEVEN_00799762,JPY,niu1,-8058.6,37.0,FIFTY_SEVEN,Futures,NIKKEI 225  (SGX) Sep21,11,-27294.3,577500.0
42,42,NEFU_FIFTY_SEVEN_00799762,SGD,qzq1,-5915.09,5.0,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0,0.0,8025.0
43,43,NEFU_FIFTY_SEVEN_00799762,THB,,906243.1,2.0,,,,0,,
44,44,NEFU_FIFTY_SEVEN_00799762,THB,bcu1,-1094.74,2.0,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0,0.0,0.0
45,45,NEFU_FIFTY_SEVEN_00799762,THB,thb,-455583.43,1.0,,,,0,,
46,46,NEFU_FIFTY_SEVEN_00799762,USD,,-905523.7,2.0,,,,0,,
47,47,NEFU_FIFTY_SEVEN_00799762,USD,boz1,-5610.0,6.0,FIFTY_SEVEN,Futures,SOYBEAN OIL FUTR  Dec21,0,61.181999999999995,72.0
48,48,NEFU_FIFTY_SEVEN_00799762,USD,clu1,-1450.0,6.0,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Sep21,0,0.0,0.0
49,49,NEFU_FIFTY_SEVEN_00799762,USD,clv1,-240.0,2.0,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Oct21,0,0.0,0.0
50,50,NEFU_FIFTY_SEVEN_00799762,USD,cov1,-99.83,4.0,FIFTY_SEVEN,Futures,BRENT CRUDE FUTR  Oct21,0,0.0,0.0
51,51,NEFU_FIFTY_SEVEN_00799762,USD,cox1,-168.2,28.0,,,,0,,
52,52,NEFU_FIFTY_SEVEN_00799762,USD,coz1,-112.78,12.0,,,,0,,
53,53,NEFU_FIFTY_SEVEN_00799762,USD,esu1,-3312.5,36.0,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0,0.0,3962.5
54,54,NEFU_FIFTY_SEVEN_00799762,USD,hou1,-3758.88,10.0,FIFTY_SEVEN,Futures,NY HARB ULSD FUT SEP21,0,210.5136,0.0
55,55,NEFU_FIFTY_SEVEN_00799762,USD,nqu1,-32.76,2.0,FIFTY_SEVEN,Futures,NASDAQ 100 E-MINI SEP21,0,0.0,90.0
56,56,NEFU_FIFTY_SEVEN_00799762,USD,qsu1,-674.97,2.0,,,,0,,
57,57,NEFU_FIFTY_SEVEN_00799762,USD,s x1,-1712.5,10.0,FIFTY_SEVEN,Futures,SOYBEAN FUTURE    Nov21,0,0.0,275.0
58,58,NEFU_FIFTY_SEVEN_00799762,USD,thb,452761.85,1.0,,,,0,,
59,59,NEFU_FIFTY_SEVEN_00799762,USD,twtn1,49.55,18.0,,,,0,,
60,60,NEFU_FIFTY_SEVEN_00799762,USD,tyu1,-218.8,5.0,FIFTY_SEVEN,Futures,US 10YR NOTE (CBT SEP21,0,0.0,139.67
61,61,NEFU_FIFTY_SEVEN_00799762,USD,xbu1,-294.0,2.0,FIFTY_SEVEN,Futures,GASOLINE RBOB FUT SEP21,0,224.8092,0.0
62,62,NEFU_FIFTY_SEVEN_00799764,USD,rtym1,8947.5,2.0,,,,0,,
63,63,NEFU_FIFTY_SEVEN_00799764,USD,rtyu1,-276.93,6.0,FIFTY_SEVEN,Futures,E-Mini Russ 2000  Sep21,0,0.0,0.0
64,64,NEFU_FIFTY_SEVEN_00799764,USD,usu1,-145.95,2.0,FIFTY_SEVEN,Futures,US LONG BOND(CBT) SEP21,0,0.0,-0.5
65,65,NEFU_FIFTY_SEVEN_00799769,CAD,ptu1,-64.02,4.0,FIFTY_SEVEN,Futures,S&P/TSX 60 IX FUT SEP21,0,0.0,0.0
66,66,NEFU_FIFTY_SEVEN_00799769,EUR,cfq1,1645.82,20.0,FIFTY_SEVEN,Futures,CAC40 10 EURO FUT AUG21,0,0.0,12925.0
67,67,NEFU_FIFTY_SEVEN_00799769,EUR,eoq1,-505.71,2.0,FIFTY_SEVEN,Futures,AMSTERDAM IDX FUT AUG21,0,0.0,0.0
68,68,NEFU_FIFTY_SEVEN_00799769,EUR,ibq1,105.84,2.0,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0,0.0,0.0
69,69,NEFU_FIFTY_SEVEN_00799769,EUR,oatu1,-469.93,1.0,FIFTY_SEVEN,Futures,EURO-OAT FUTURE SEP21,0,0.0,400.0
70,70,NEFU_FIFTY_SEVEN_00799769,EUR,stu1,-2736.68,20.0,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0
71,71,NEFU_FIFTY_SEVEN_00799769,EUR,vgu1,-611.79,2.0,FIFTY_SEVEN,Futures,EURO STOXX 50     Sep21,0,0.0,0.0
72,72,NEFU_FIFTY_SEVEN_00799769,GBP,g u1,-1032.19,3.0,FIFTY_SEVEN,Futures,LONG GILT FUTURE  Sep21,0,0.0,0.0
73,73,NEFU_FIFTY_SEVEN_00799769,HKD,hin1,4.33,18.0,,,,0,,
74,74,NEFU_FIFTY_SEVEN_00799769,JPY,tpu1,-1479.81,18.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,0,0.0,200000.0
75,75,NEFU_FIFTY_SEVEN_00799769,SGD,qzq1,29.48,2.0,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0,0.0,0.0
76,76,NEFU_FIFTY_SEVEN_00799769,THB,,4664.3,1.0,,,,0,,
77,77,NEFU_FIFTY_SEVEN_00799769,USD,,-4660.6,1.0,,,,0,,
78,78,NEFU_FIFTY_SEVEN_00799769,USD,adu1,-107.56,14.0,,,,0,,
79,79,NEFU_FIFTY_SEVEN_00799769,USD,adu1 curncy,102.76,2.0,FIFTY_SEVEN,Futures,AUDUSD CRNCY FUT SEP21,0,73.2154,400.0
80,80,NEFU_FIFTY_SEVEN_00799769,USD,clu1,-1100.0,2.0,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Sep21,0,0.0,0.0
81,81,NEFU_FIFTY_SEVEN_00799769,USD,cou1,-92.0,10.0,,,,0,,
82,82,NEFU_FIFTY_SEVEN_00799769,USD,esu1,-11236.92,130.0,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0,0.0,16925.0
83,83,NEFU_FIFTY_SEVEN_00799769,USD,ihq1,1823.38,14.0,FIFTY_SEVEN,Futures,SGX CNX NIFTY ETS AUG21,0,0.0,2294.0
84,84,NEFU_FIFTY_SEVEN_00799769,USD,jyu1,38.62,3.0,,,,0,,
85,85,NEFU_FIFTY_SEVEN_00799769,USD,jyu1 curncy,-1.12,1.0,FIFTY_SEVEN,Futures,JPN YEN CURR FUT  Sep21,0,90.7632,6.25
86,86,NEFU_FIFTY_SEVEN_00799769,USD,ngu1 21,-1477.36,2.0,FIFTY_SEVEN,Futures,SEP 21 NATURAL GAS,-2,4.027,-980.0
87,87,NEFU_FIFTY_SEVEN_00799769,USD,ngu21,1477.36,2.0,FIFTY_SEVEN,Futures,NATURAL GAS FUTR  Sep21,2,-4.027,2850.0
88,88,NEFU_FIFTY_SEVEN_00799769,USD,tyu1,-224.94,2.0,FIFTY_SEVEN,Futures,US 10YR NOTE (CBT SEP21,0,0.0,-0.04
89,89,NEFU_FIFTY_SEVEN_00799769,USD,uxq1,-2399.94,2.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Aug21,0,0.0,2400.0
90,90,NEFU_FIFTY_SEVEN_00799801,USD,esu1,-427.18,57.0,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0,0.0,2000.0
91,91,NEFU_FIFTY_SEVEN_00799802,AUD,xpu1,-21332.67,3.0,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,19,0.0,57675.0
92,92,NEFU_FIFTY_SEVEN_00799802,EUR,cfq1,-3404.37,9.0,FIFTY_SEVEN,Futures,CAC40 10 EURO FUT AUG21,0,0.0,1420.0
93,93,NEFU_FIFTY_SEVEN_00799802,EUR,fvsq1,-111.73,2.0,FIFTY_SEVEN,Futures,VSTOXX Future     Aug21,0,0.0,95.0
94,94,NEFU_FIFTY_SEVEN_00799802,EUR,fvsu1,-94.09,6.0,FIFTY_SEVEN,Futures,VSTOXX Future     Sep21,0,0.0,100.0
95,95,NEFU_FIFTY_SEVEN_00799802,EUR,gxu1,890.1,25.0,FIFTY_SEVEN,Futures,DAX INDEX FUTURE  Sep21,0,0.0,400.0
96,96,NEFU_FIFTY_SEVEN_00799802,EUR,ibq1,-5892.89,10.0,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0,0.0,0.0
97,97,NEFU_FIFTY_SEVEN_00799802,EUR,stu1,5.29,4.0,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0
98,98,NEFU_FIFTY_SEVEN_00799802,EUR,vgu1,-40193.58,131.0,FIFTY_SEVEN,Futures,EURO STOXX 50     Sep21,0,0.0,-42320.0
99,99,NEFU_FIFTY_SEVEN_00799802,GBP,z u1,-6967.52,8.0,FIFTY_SEVEN,Futures,FTSE 100 IDX FUT  Sep21,0,0.0,2690.0
100,100,NEFU_FIFTY_SEVEN_00799802,JPY,jbu1,-9.45,1.0,FIFTY_SEVEN,Futures,JPN 10Y BOND(OSE) SEP21,3,0.0,390000.0
101,101,NEFU_FIFTY_SEVEN_00799802,JPY,tpu1,1433.6,2.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,24,0.0,940000.0
102,102,NEFU_FIFTY_SEVEN_00799802,USD,tyu1,78.12,2.0,FIFTY_SEVEN,Futures,US 10YR NOTE (CBT SEP21,0,0.0,0.01
103,103,NEFU_FIFTY_SEVEN_00799802,USD,uxn1,12.86,9.0,,,,0,,
104,104,NEFU_FIFTY_SEVEN_00799802,USD,uxq1,-687.6,11.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Aug21,0,0.0,700.0
105,105,NEFU_FIFTY_SEVEN_00799802,USD,uxu1,300.08,2.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Sep21,0,0.0,300.0
106,106,NEFU_FIFTY_SEVEN_00799802,ZAR,aiu1,-3072.24,7.0,FIFTY_SEVEN,Futures,FTSE/JSE TOP 40   Sep21,0,66.0,-302080.0
107,107,NEFU_FIFTY_SEVEN_00799803,AUD,xmu1,-34.81,20.0,FIFTY_SEVEN,Futures,AUST 10Y BOND FUT SEP21,0,0.0,0.12
108,108,NEFU_FIFTY_SEVEN_00799803,AUD,xpu1,-131038.87,132.0,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,0,0.0,-27950.0
109,109,NEFU_FIFTY_SEVEN_00799803,AUD,ymu1,1286.75,53.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT SEP21,-60,99.71,2264.46
110,110,NEFU_FIFTY_SEVEN_00799803,AUD,ymu1,1286.75,53.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT Sep21,60,-99.71,-2265.45
111,111,NEFU_FIFTY_SEVEN_00799803,HKD,hcq1,-7089.51,7.0,FIFTY_SEVEN,Futures,H-SHARES IDX FUT AUG21,0,0.0,29350.0
112,112,NEFU_FIFTY_SEVEN_00799803,HKD,hiq1,45780.6,36.0,FIFTY_SEVEN,Futures,HANG SENG IDX FUT AUG21,0,-25794.45,-398750.0
113,113,NEFU_FIFTY_SEVEN_00799803,JPY,tpu1,-35609.66,154.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,0,0.0,27460000.0
114,114,NEFU_FIFTY_SEVEN_00799803,MYR,ikq1,-16.25,3.0,,,,0,,
115,115,NEFU_FIFTY_SEVEN_00799803,SGD,qzq1,1861.14,30.0,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0,0.0,-2230.0
116,116,NEFU_FIFTY_SEVEN_00799803,THB,bcu1,4629.09,17.0,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0,0.0,-97940.0
117,117,NEFU_FIFTY_SEVEN_00799803,USD,ihm1,111.58,1.0,,,,0,,
118,118,NEFU_FIFTY_SEVEN_00799803,USD,ihn1,119.15,6.0,,,,0,,
119,119,NEFU_FIFTY_SEVEN_00799803,USD,twtn1,70.0,1.0,,,,0,,
120,120,NEFU_FIFTY_SEVEN_00799803,USD,twtq1,-65450.0,38.0,FIFTY_SEVEN,Futures,FTSE TAIWAN INDEX AUG21,-5,0.0,90660.0
121,121,NEFU_FIFTY_SEVEN_00799803,USD,xun1,-91.2,48.0,,,,0,,
122,122,NEFU_FIFTY_SEVEN_00799803,USD,xuq1,-52888.2,20.0,FIFTY_SEVEN,Futures,FTSE CHINA A50    Aug21,0,0.0,59294.0
123,123,NEFU_FIFTY_SEVEN_00799804,KRW,kaau1,-31715.7,9.0,FIFTY_SEVEN,Futures,KOREA 10YR BND FU SEP21,0,0.0,11580000.0
124,124,NEFU_FIFTY_SEVEN_00799804,KRW,keu1,4.9,3.0,FIFTY_SEVEN,Futures,KOREA 3YR BND FUT SEP21,0,0.0,0.0
125,125,NEFU_FIFTY_SEVEN_00799804,KRW,kmu1,-6672.99,122.0,FIFTY_SEVEN,Futures,KOSPI2 INX FUT    Sep21,0,0.0,67200000.0
126,126,NEFU_FIFTY_SEVEN_00799811,EUR,sxou1,-43.47,1.0,FIFTY_SEVEN,Futures,STOXX EUROPE 600  Sep21,0,0.0,0.0
127,127,NEFU_FIFTY_SEVEN_00799811,HKD,hiu1,-1.44,1.0,FIFTY_SEVEN,Futures,SEP 21 HS INDEX,1,259.74,15800.0
128,128,NEFU_FIFTY_SEVEN_00799812,KRW,kmu1,-277.34,2.0,FIFTY_SEVEN,Futures,KOSPI2 INX FUT    Sep21,0,0.0,200000.0
129,129,NEFU_FIFTY_SEVEN_00799814,KRW,kuq1,-18.91,1.0,,,,0,,
130,130,NEFU_FIFTY_SEVEN_00799816,USD,btcj1 curncy,4117.56,2.0,,,,0,,
131,131,NEFU_FIFTY_SEVEN_00799817,EUR,vgu1,-8.28,2.0,,,,0,,
132,132,NEFU_FIFTY_SEVEN_L20099762,PLN,krsu1,3.0,19.0,FIFTY_SEVEN,Futures,WIG20 INDEX FUT   Sep21,0,0.0,14120.0
133,133,NEFU_FIFTY_SEVEN_L20099762,PLN,krsu1,3.0,,FIFTY_SEVEN,Futures,WIG20 INDEX FUT   Sep21,0,0.0,14120.0
