,ViewData.Currency,ViewData.Account Type,ViewData.Accounting Net Amount,ViewData.Task ID,ViewData.Source Combination Code,ViewData.Activity Code,ViewData.Age,ViewData.Age WK,ViewData.Asset Type Category,ViewData.Base Currency,ViewData.Base Net Amount,ViewData.Bloomberg_Yellow_Key,ViewData.B-P Net Amount,ViewData.BreakID,ViewData.Business Date,ViewData.Cancel Amount,ViewData.Cancel Flag,ViewData.CUSIP,ViewData.Custodian,ViewData.Custodian Account,ViewData.Derived Source,ViewData.Description,ViewData.Department,ViewData.ExpiryDate,ViewData.ExternalComment1,ViewData.ExternalComment2,ViewData.ExternalComment3,ViewData.Fund,ViewData.FX Rate,ViewData.Interest Amount,ViewData.InternalComment1,ViewData.InternalComment2,ViewData.InternalComment3,ViewData.Investment Type,ViewData.Is Combined Data,ViewData.ISIN,ViewData.Keys,ViewData.Mapped Custodian Account,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Non Trade Description,ViewData.OTE Custodian Account,ViewData.Price,ViewData.Prime Broker,ViewData.Quantity,ViewData.SEDOL,ViewData.Settle Date,ViewData.SPM ID,ViewData.Status,ViewData.Strike Price,ViewData.System Comments,ViewData.Ticker,ViewData.Trade Date,ViewData.Trade Expenses,ViewData.Transaction Category,ViewData.Transaction ID,ViewData.Transaction Type,ViewData.Underlying Cusip,ViewData.Underlying Investment ID,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Underlying Ticker,ViewData.Source Combination,ViewData._ID,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.Task Business Date,Date,flag_side0,flag_side1,Trans_side
0,USD,NA,193076.25,3791380114,94406485,,0,0,,,,,,1859551011,05-24-2021,-193076.25,1.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,-193076.25,193076.25,,,,BNY,28513.0,BMZ5LZ5,02-04-2021,,CNF,,No matching record found,CHK US,02-02-2021,,,6884963,Buy,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334501e9c9c0c8803408c,1_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
1,USD,NA,-1112046.0,3791380114,94406485,,0,0,,,,,,1859551012,05-24-2021,1112046.0,1.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,1112046.0,1112046.0,,,,BNY,28514.0,BMZ5LZ5,02-04-2021,,CNF,,No matching record found,CHK US,02-02-2021,,,6943282,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334501e9c9c0c8803408e,3_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
2,EUR,,,3791380114,94406485,,0,-1,INT BEARING CORP DEBT,,,,3715.63,1859551077,05-24-2021,0.0,,MM0025CM3,BNY,943941,,IHO VERWALTUNGS 3.625 15MAY25 144A,,,,,,943941,,,,,,IT,,XS2004438532,,"OKMF86460902,OKMF86473802",3715.63,3715.63,,,0.018125,BNY,205000.0,BJX9RB6,05-17-2021,,OB,,No matching record found,,05-17-2021,,,,Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d7,None,76_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
3,USD,,,3791380114,94406485,,0,-1,STIF,,,,-307938.9,1859551078,05-24-2021,0.0,,X9USD0023,BNY,527974,,BNY MELLON US TRSRY INSTL 703,,,,,,Arch HIC,,,,,,IM,,X9X9USD00237,,OKMF86485302,-307938.9,307938.9,,,1.0,BNY,307938.9,9A00HFO,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d8,None,38_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
4,USD,NA,6.77,3791380114,94406485,,0,-1,,,,,,1859551079,05-24-2021,6.77,0.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,-6.77,6.77,,,,BNY,1.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7297300,Corp Action - Tender,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342d9,10_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
5,USD,,,3791380114,94406485,,0,-1,STIF,,,,-12.99,1859551080,05-24-2021,0.0,,X9USDBMCR,BNY,394583,,BNY MELLON CASH RESERVE,,,,,,394583,,,,,,IM,,X9X9USDBMCR4,,Wespath I - BNYM,-12.99,12.99,,,1.0,BNY,12.99,9A0S7I1,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342da,None,15_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
6,USD,,,3791380114,94406485,,0,-1,STIF,,,,595000.0,1859551082,05-24-2021,0.0,,X9USDECTI,BNY,943941,,COLLECTIVE US GOVT STIF 7 BPS,,,,,,943941,,,,,,S,,X9X9USDECTI2,,"OKMF86460902,OKMF86473802",595000.0,595000.0,,,1.0,BNY,-595000.0,9A21VWQ,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342dc,None,74_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
7,USD,,,3791380114,94406485,,0,-1,STIF,,,,1422428.96,1859551083,05-24-2021,0.0,,X9USDDGCM,BNY,468888,,DREYFUS GOVT CM INST 289,,,,,,468888,,,,,,S,,X9X9USDDGCM3,,USHY_Arch Re,1422428.96,1422428.96,,,1.0,BNY,-1422428.96,9A0NZKE,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342dd,None,24_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
8,USD,,,3791380114,94406485,,0,-1,STIF,,,,3682705.41,1859551084,05-24-2021,0.0,,X9USDLLEC,BNY,729034,,COLLECTIVE US GOVT STIF 15 BPS,,,,,,PG&E,,,,,,S,,X9X9USDLLEC3,,OKMF86474002,3682705.41,3682705.41,,,1.0,BNY,-3682705.41,9A21VY5,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342de,None,51_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
9,USD,,,3791380114,94406485,,0,-1,STIF,,,,-4227471.06,1859551085,05-24-2021,0.0,,X9USDUMCU,BNY,969453,,UMC CASH SWEEP ACT PROP CASH FD,,,,,,Wespath,,,,,,IM,,X9X9USDUMCU8,,OKMF86474202,-4227471.06,4227471.06,,,1.0,BNY,4227471.06,9A3DXHK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e0,None,90_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
10,USD,,,3791380114,94406485,,0,-1,STIF,,,,307938.9,1859551087,05-24-2021,0.0,,X9USD0023,BNY,527974,,BNY MELLON US TRSRY INSTL 703,,,,,,Arch HIC,,,,,,S,,X9X9USD00237,,OKMF86485302,307938.9,307938.9,,,1.0,BNY,-307938.9,9A00HFO,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e1,None,39_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
11,USD,,,3791380114,94406485,,0,-1,STIF,,,,-2732652.91,1859551086,05-24-2021,0.0,,X9USDFIIN,BNY,253640,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,253640,,,,,,IM,,X9X9USDFIIN9,,OKMF86503202,-2732652.91,2732652.91,,,1.0,BNY,2732652.91,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e2,None,8_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
12,USD,,,3791380114,94406485,,0,-1,STIF,,,,-364277.17,1859551088,05-24-2021,0.0,,X9USDCTIV,BNY,483526,,COLLECTIVE US GOVT STIF 12 BPS,,,,,,TCDRS_HY,,,,,,IM,,X9X9USDCTIV6,,OKMF86474702,-364277.17,364277.17,,,1.0,BNY,364277.17,9A21VYS,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342df,None,30_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
13,USD,,,3791380114,94406485,,0,-1,STIF,,,,2062669.78,1859551089,05-24-2021,0.0,,X9USDEBTI,BNY,959692,,EB TEMPORARY INVESTMENT FEE CL 15,,,,,,WCTPT,,,,,,S,,X9X9USDEBTI4,,OKMF86487002,2062669.78,2062669.78,,,1.0,BNY,-2062669.78,9A1FT0B,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e3,None,85_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
14,USD,,,3791380114,94406485,,0,-1,STIF,,,,12.99,1859551090,05-24-2021,0.0,,X9USDBMCR,BNY,394583,,BNY MELLON CASH RESERVE,,,,,,394583,,,,,,S,,X9X9USDBMCR4,,Wespath I - BNYM,12.99,12.99,,,1.0,BNY,-12.99,9A0S7I1,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e4,None,17_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
15,USD,,,3791380114,94406485,,0,-1,STIF,,,,-497504.88,1859551092,05-24-2021,0.0,,X9USDFIIN,BNY,729820,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,PG&E VEBA,,,,,,IM,,X9X9USDFIIN9,,OKMF86474102,-497504.88,497504.88,,,1.0,BNY,497504.88,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e6,None,62_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
16,USD,,,3791380114,94406485,,0,-1,STIF,,,,4227471.06,1859551091,05-24-2021,0.0,,X9USDUMCU,BNY,969453,,UMC CASH SWEEP ACT PROP CASH FD,,,,,,Wespath,,,,,,S,,X9X9USDUMCU8,,OKMF86474202,4227471.06,4227471.06,,,1.0,BNY,-4227471.06,9A3DXHK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e8,None,91_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
17,USD,,,3791380114,94406485,,0,-1,STIF,,,,-3682705.41,1859551093,05-24-2021,0.0,,X9USDLLEC,BNY,729034,,COLLECTIVE US GOVT STIF 15 BPS,,,,,,PG&E,,,,,,IM,,X9X9USDLLEC3,,OKMF86474002,-3682705.41,3682705.41,,,1.0,BNY,3682705.41,9A21VY5,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ec,None,50_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
18,USD,,,3791380114,94406485,,0,-1,STIF,,,,-465151.68,1859551094,05-24-2021,0.0,,X9USD0297,BNY,394583,,STAND SUPER STIF I,,,,,,394583,,,,,,IM,,X9X9USD02977,,Wespath I - BNYM,-465151.68,465151.68,,,1.0,BNY,465151.68,9A4PXEK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e5,None,14_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
19,USD,,,3791380114,94406485,,0,-1,STIF,,,,2732652.91,1859551095,05-24-2021,0.0,,X9USDFIIN,BNY,253640,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,253640,,,,,,S,,X9X9USDFIIN9,,OKMF86503202,2732652.91,2732652.91,,,1.0,BNY,-2732652.91,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e7,None,9_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
20,USD,,,3791380114,94406485,,0,-1,STIF,,,,364277.17,1859551096,05-24-2021,0.0,,X9USDCTIV,BNY,483526,,COLLECTIVE US GOVT STIF 12 BPS,,,,,,TCDRS_HY,,,,,,S,,X9X9USDCTIV6,,OKMF86474702,364277.17,364277.17,,,1.0,BNY,-364277.17,9A21VYS,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342e9,None,31_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
21,USD,,,3791380114,94406485,,0,-1,STIF,,,,-2062669.78,1859551097,05-24-2021,0.0,,X9USDEBTI,BNY,959692,,EB TEMPORARY INVESTMENT FEE CL 15,,,,,,WCTPT,,,,,,IM,,X9X9USDEBTI4,,OKMF86487002,-2062669.78,2062669.78,,,1.0,BNY,2062669.78,9A1FT0B,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ea,None,84_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
22,USD,,,3791380114,94406485,,0,-1,STIF,,,,-1422428.96,1859551098,05-24-2021,0.0,,X9USDDGCM,BNY,468888,,DREYFUS GOVT CM INST 289,,,,,,468888,,,,,,IM,,X9X9USDDGCM3,,USHY_Arch Re,-1422428.96,1422428.96,,,1.0,BNY,1422428.96,9A0NZKE,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342eb,None,23_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
23,USD,,,3791380114,94406485,,0,-1,STIF,,,,4241223.61,1859551099,05-24-2021,0.0,,X9USD0217,BNY,833349,,JP MORGAN US TRES PLUS MM 4110,,,,,,Alaska,,,,,,S,,X9X9USD02175,,OKMF86503102,4241223.61,4241223.61,,,1.0,BNY,-4241223.61,9A49RFR,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ed,None,70_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
24,USD,,,3791380114,94406485,,0,-1,STIF,,,,465151.68,1859551100,05-24-2021,0.0,,X9USD0297,BNY,394583,,STAND SUPER STIF I,,,,,,394583,,,,,,S,,X9X9USD02977,,Wespath I - BNYM,465151.68,465151.68,,,1.0,BNY,-465151.68,9A4PXEK,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ee,None,16_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
25,USD,,,3791380114,94406485,,0,-1,STIF,,,,497504.88,1859551101,05-24-2021,0.0,,X9USDFIIN,BNY,729820,,FIDELITY INVESTMENT MM GOV 1 57,,,,,,PG&E VEBA,,,,,,S,,X9X9USDFIIN9,,OKMF86474102,497504.88,497504.88,,,1.0,BNY,-497504.88,9A0W3JI,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342ef,None,63_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
26,USD,,,3791380114,94406485,,0,-1,STIF,,,,-4241223.61,1859551102,05-24-2021,0.0,,X9USD0217,BNY,833349,,JP MORGAN US TRES PLUS MM 4110,,,,,,Alaska,,,,,,IM,,X9X9USD02175,,OKMF86503102,-4241223.61,4241223.61,,,1.0,BNY,4241223.61,9A49RFR,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342f1,None,69_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
27,USD,,,3791380114,94406485,,0,-1,STIF,,,,-595000.0,1859551103,05-24-2021,0.0,,X9USDECTI,BNY,943941,,COLLECTIVE US GOVT STIF 7 BPS,,,,,,943941,,,,,,IM,,X9X9USDECTI2,,"OKMF86460902,OKMF86473802",-595000.0,595000.0,,,1.0,BNY,595000.0,9A21VWQ,05-24-2021,,OB,,No matching record found,,05-24-2021,,,,STIF Interest,,,,,,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342f0,None,73_3791380114_The Bank of New York Mellon,2021-05-24T00:00:00,2021-05-24,0,1,A_side
28,GBP,NA,0.41,3791380114,94406485,,0,-1,,,,,,1859551108,05-24-2021,0.41,0.0,,San Fran_Liq,OKMF86502802,,UK POUND,,,,,,San Fran_Liq,,,,,,CASH,,,,OKMF86502802,-0.41,0.41,,,,NT,0.0,,05-20-2021,,OB,,No matching record found,,05-20-2021,,,7292650,Revenue,,,,,UK POUND,"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c880342f2,52_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
29,USD,NA,44622.64,3791380114,94406485,,0,-1,,,,,,1859551105,05-24-2021,44622.64,0.0,165167735,TCDRS HY,OKMF86474702,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,TCDRS HY,,,,,,COMMON STOCK,,US1651677353,,OKMF86474702,-44622.64,44622.64,,,,BNY,4712.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010761,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034333,53_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
30,USD,NA,362094.92,3791380114,94406485,,0,-1,,,,,,1859551106,05-24-2021,362094.92,0.0,165167735,PG&E,OKMF86474002,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,PG&E,,,,,,COMMON STOCK,,US1651677353,,OKMF86474002,-362094.92,362094.92,,,,BNY,38236.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010758,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034335,27_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
31,USD,NA,40796.76,3791380114,94406485,,0,-1,,,,,,1859551107,05-24-2021,40796.76,0.0,165167735,WespathI,Wespath I - BNYM,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,WespathI,,,,,,COMMON STOCK,,US1651677353,,Wespath I - BNYM,-40796.76,40796.76,,,,BNY,4308.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010763,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034337,71_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
32,USD,NA,350626.75,3791380114,94406485,,0,-1,,,,,,1859551110,05-24-2021,350626.75,0.0,165167735,Wespath,OKMF86474202,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Wespath,,,,,,COMMON STOCK,,US1651677353,,OKMF86474202,-350626.75,350626.75,,,,BNY,37025.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010762,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034338,66_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
33,USD,NA,29328.59,3791380114,94406485,,0,-1,,,,,,1859551109,05-24-2021,29328.59,0.0,165167735,PG&E VEBA,OKMF86474102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,PG&E VEBA,,,,,,COMMON STOCK,,US1651677353,,OKMF86474102,-29328.59,29328.59,,,,BNY,3097.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010759,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034339,38_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
34,USD,NA,-193069.48,3791380114,94406485,,0,-1,,,,,,1859551111,05-24-2021,-193069.48,0.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,193069.48,193069.48,,,,BNY,28513.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,6884963,Buy,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c8803433a,2_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
35,USD,NA,465374.74,3791380114,94406485,,0,-1,,,,,,1859551112,05-24-2021,465374.74,0.0,165167735,Alaska,OKMF86503102,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),,,,,,Alaska,,,,,,COMMON STOCK,,US1651677353,,OKMF86503102,-465374.74,465374.74,,,,BNY,49142.0,BMZ5LZ5,02-04-2021,,OB,,No matching record found,CHK US,02-02-2021,,,7010754,Sell,,,,,Chesapeake Energy Corp Common Stock (DTC Unrestricted Shares) (USD),"Advent Geneva,The Bank of New York Mellon",60b334521e9c9c0c88034331,4_3791380114_Advent Geneva,None,2021-05-24T00:00:00,2021-05-24,1,0,B_side
